"YEAR","MONTH","CODE","ACE_CODE","NAME","ID","TTF_FLT","DURATION","CFMU_DURATION","CFMU_DISTANCE","UNIT_KIND","UNIT_PRU_TYPE","TDM_15_ERT_NA","TDM_15","TDF_15_ERT_NA","TDF_15_ARP","TDF_15"
2015,4,"DFS","DFS","DFS",8,232478,6826295,6826295,39495583,"ANSP","ANSP",27120,36708,1021,354,1375
2015,3,"DHMI","DHMI","DHMI",9,93583,5560556,5560556,37626329,"ANSP","ANSP",114,44372,6,1608,1614
2015,1,"DHMI","DHMI","DHMI",9,87403,5301103,5301103,35300720,"ANSP","ANSP",200,84489,8,2723,2731
2014,2,"DHMI","DHMI","DHMI",9,73032,4218477,4218477,27526304,"ANSP","ANSP",9194,35789,390,438,828
2014,3,"DHMI","DHMI","DHMI",9,84599,4912233,4912233,32194725,"ANSP","ANSP",7467,7875,318,17,335
2014,4,"DHMI","DHMI","DHMI",9,95827,5582182,5582182,36804219,"ANSP","ANSP",4986,6947,187,81,268
2014,1,"DHMI","DHMI","DHMI",9,78935,4617962,4617962,29849495,"ANSP","ANSP",12175,14631,509,38,547
2014,5,"DHMI","DHMI","DHMI",9,110779,6349679,6349679,41875724,"ANSP","ANSP",736,32108,29,650,679
2014,6,"DHMI","DHMI","DHMI",9,117519,6666761,6666761,44228752,"ANSP","ANSP",6715,64871,265,1872,2137
2014,7,"DHMI","DHMI","DHMI",9,126406,7146099,7146099,48136793,"ANSP","ANSP",15501,44114,541,1095,1636
2014,8,"DHMI","DHMI","DHMI",9,134159,7664940,7664940,51470500,"ANSP","ANSP",7955,173142,283,4063,4346
2014,10,"DHMI","DHMI","DHMI",9,114337,6759746,6759746,44041070,"ANSP","ANSP",1754,38117,72,1375,1447
2014,9,"DHMI","DHMI","DHMI",9,121318,7049552,7049552,46731905,"ANSP","ANSP",5492,75975,208,2427,2635
2014,11,"DHMI","DHMI","DHMI",9,90658,5435555,5435555,36037698,"ANSP","ANSP",636,26748,26,1031,1057
2014,12,"DHMI","DHMI","DHMI",9,87571,5326294,5326294,35214628,"ANSP","ANSP",562,97185,18,3109,3127
2015,2,"DHMI","DHMI","DHMI",9,78106,4685431,4685431,31442759,"ANSP","ANSP",0,105895,0,2262,2262
2015,4,"DHMI","DHMI","DHMI",9,102606,6080062,6080062,40417892,"ANSP","ANSP",207,102658,8,3180,3188
2014,2,"DNA","DNA","DSNA",10,181447,8169039,8169039,51300704,"ANSP","ANSP",37789,46103,1247,232,1479
2014,3,"DNA","DNA","DSNA",10,211514,9463155,9463155,59680811,"ANSP","ANSP",141361,154081,4031,324,4355
2015,1,"DNA","DNA","DSNA",10,192621,8648255,8648255,54625331,"ANSP","ANSP",16260,45555,588,902,1490
2014,4,"DNA","DNA","DSNA",10,240785,10864512,10864512,69739040,"ANSP","ANSP",41541,54275,1775,447,2222
2015,2,"DNA","DNA","DSNA",10,183382,8218226,8218226,52133941,"ANSP","ANSP",20359,48111,712,791,1503
2014,1,"DNA","DNA","DSNA",10,189824,8511399,8511399,53485454,"ANSP","ANSP",67047,89409,1922,643,2565
2014,6,"DNA","DNA","DSNA",10,274991,12343708,12343708,79887193,"ANSP","ANSP",488354,521178,9418,903,10321
2014,5,"DNA","DNA","DSNA",10,264979,11961907,11961907,77265409,"ANSP","ANSP",193562,219635,5109,715,5824
2014,7,"DNA","DNA","DSNA",10,297680,13445411,13445411,88189284,"ANSP","ANSP",186195,210746,7211,815,8026
2014,8,"DNA","DNA","DSNA",10,292499,13180239,13180239,87461616,"ANSP","ANSP",180212,194365,7069,449,7518
2014,10,"DNA","DNA","DSNA",10,255874,11569690,11569690,74479055,"ANSP","ANSP",87969,108971,3577,731,4308
2014,9,"DNA","DNA","DSNA",10,268523,12021841,12021841,78627417,"ANSP","ANSP",57668,82130,2373,850,3223
