"YEAR","MONTH_NUM","ANSP_NAME","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2014,4,"Croatia Control",37257,11362733.02,877639,33,6,357,124,0,0,0,0,33,6,357,124,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,"PANSA",54533,23785500.836,1944648,2171,974,33208,22838,16,7,249,169,2155,967,32959,22669,0,1603,0,0,0,0,0,0,38,26182,0,5136,0,0,0,0
2014,4,"Slovenia Control",20198,2650156.44,216023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"ANS CR",54232,13571720.836,1091368,33,15,531,359,33,15,531,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,"Austro Control",69337,14681461.46,1254990,784,386,12541,8722,784,386,12541,8722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,"DSNA",240785,129156702.08,10864513,5322,2222,80827,54275,1034,447,17854,12734,4288,1775,62973,41541,0,41738,0,0,0,0,1726,0,5680,0,0,931,10891,0,2007,0
2014,4,"LFV",57695,23066998.916,2084002,59,26,987,694,28,8,392,185,31,18,595,509,0,0,0,0,0,0,0,0,0,341,0,4,0,0,250,0
2014,4,"MoldATSA",3870,633267.324,54729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"LVNL",47195,5775774.988,748963,1857,1007,39056,31861,1529,848,33900,28054,328,159,5156,3807,0,2332,0,0,207,0,0,0,0,0,0,0,0,0,2617,0
2014,4,"UkSATSE",26351,16745239.512,1311691,4,0,34,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,"DHMI",95827,68161413.588,5582183,483,268,8778,6947,141,81,2488,1961,342,187,6290,4986,0,0,0,0,0,0,0,0,6290,0,0,0,0,0,0,0
2014,4,"IAA",44651,17982897.776,1389553,26,16,476,408,26,16,476,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
