"YEAR","MONTH_NUM","ANSP_NAME","ENTITY_NAME","ENTITY_TYPE","ENTITY_CODE","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2015,3,"Avinor (Continental)","HEIDRUN A","APP","ENHETMA",463,63879.184,15908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LFV","STOCKHOLM/ARLANDA","APP","ESSACTR",19452,269775.284,60225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DHMI","KAHRAMANMARAS APP","APP","LTCNTMA",220,9313.708,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NATS (Continental)","LONDON FIR-FIC","FIS","EGPXICTA",101,3518.8,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Avinor (Continental)","MORE APPROACH","APP","ENMLTMA",3521,232353.772,40754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","PIRKKALA APPROACH","APP","EFTPTMA",767,27020.68,4755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAV","BARI","APP","LIBDCTR",2506,80845.356,16229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"HungaroControl","KOSOVO AREA","ACC","LHKRCTA",3592,343920.104,25183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","OULU","APP","EFOUTMA",979,40240.256,6180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LFV","KIRUNA TOWER","APP","ESNQCTR",330,22405.496,3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NAVIAIR","AALBORG APPROACH","APP","EKYTTMA",1653,82312.14,14982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","VARKAUS AFIS","FIS","EFVRCTR",22,368.548,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAV","OLBIA","APP","LIEOCTR",1221,36388.096,5440,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DSNA","AJACCIO","APP","LFKJTMA",1225,96407.712,14345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"HCAA","I. KAPODISTRIAS APP","APP","LGKRTMA",437,34011.98,4532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NAVIAIR","KOBENHAVN/ROSKILDE","APP","EKRKTMA",501,19216.352,8413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
